Function,Comparison,Exact Diff,Iter Diff
Sphere,Adam vs PyTorch,-3.304520327894994e-09,0
Sphere,Newton vs SciPy,3.94430470754307e-14,0
Sphere,BFGS vs SciPy,7.095228984927806e-15,0
Sphere,NM vs SciPy,-9.46170960978137e-10,14
Rosenbrock,Adam vs PyTorch,-0.01751086641618904,0
Rosenbrock,Newton vs SciPy,-2.457546596902219e-09,-77
Rosenbrock,BFGS vs SciPy,-3.354319936485098e-12,49
Rosenbrock,NM vs SciPy,-8.173888287399979e-10,28
Himmelblau,Adam vs PyTorch,-6.193332087745355e-09,0
Himmelblau,Newton vs SciPy,181.6165215225827,10
Himmelblau,BFGS vs SciPy,-1.0317400774524233e-13,21
Himmelblau,NM vs SciPy,-1.4328059884887123e-08,-12
Ellipse,Adam vs PyTorch,-1.5187597684865072e-08,0
Ellipse,Newton vs SciPy,9.950333019508897e-41,0
Ellipse,BFGS vs SciPy,1.6496241142901675e-16,0
Ellipse,NM vs SciPy,-2.7545043721718034e-09,17
Booth,Adam vs PyTorch,-0.0003726340324385043,0
Booth,Newton vs SciPy,4.1809627976713626e-29,0
Booth,BFGS vs SciPy,-2.1228617231322238e-14,1
Booth,NM vs SciPy,-1.2319679060307503e-09,13
Matyas,Adam vs PyTorch,-1.840360556080498e-07,39
Matyas,Newton vs SciPy,5.967705220332991e-12,-1
Matyas,BFGS vs SciPy,-6.5902415554083445e-15,1
Matyas,NM vs SciPy,-1.054754658820013e-10,24
ThreeHump,Adam vs PyTorch,-4.13763356910124e-10,0
ThreeHump,Newton vs SciPy,8.881784197001252e-16,0
ThreeHump,BFGS vs SciPy,-1.9984014443252818e-15,3
ThreeHump,NM vs SciPy,-3.3623281936456806e-09,16
